objid,crowded,badbkgmatch,ra,dec,l,b,nmatches,nreject,nbands,i1_fluxtype,i2_fluxtype,i3_fluxtype,i4_fluxtype,m1_fluxtype,i1_fluxflag,i2_fluxflag,i3_fluxflag,i4_fluxflag,m1_fluxflag,i1_softsatflag,i2_softsatflag,i3_softsatflag,i4_softsatflag,i1_f_ap2,i1_df_ap2,i2_f_ap2,i2_df_ap2,i3_f_ap2,i3_df_ap2,i4_f_ap2,i4_df_ap2,m1_f_psf,m1_df_psf,i1_extfrac,i2_extfrac,i3_extfrac,i4_extfrac,m1_extfrac,i1_brtfrac,i2_brtfrac,i3_brtfrac,i4_brtfrac,m1_brtfrac,i1_snr,i2_snr,i3_snr,i4_snr,m1_snr,i1_seflags,i2_seflags,i3_seflags,i4_seflags,m1_dflag,m1_sflag,i1_meannoise,i2_meannoise,i3_meannoise,i4_meannoise,m1_meannoise,smid,regid,irac_obstype,mips_obstype,i1_coverage,i2_coverage,i3_coverage,i4_coverage,m1_coverage,twomass_key,twomass_assoc,twomass_ra,twomass_dec,j,dj,h,dh,k,dk,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
SSTSL2 J152742.67+023551.8,0,0,231.927823,2.597747,6.474539,45.311356,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,491700,456.4,304300,338.7,204700,205.6,117500,117.9,13860,33.72,0,0,0,0,0,0.95,0.95,1.02,0,0,999.8,875.4,836.4,816.7,411.2,0,0,0,0,N,-1,58.98,70.9,19.47,0,26.03,40033970,40033970-0,0,0,8.58,8.57,9.15,8.57,70.09,939871637,1,231.9279,2.597748,1317000,36390,1471000,48770,1134000,25080,Gaia DR3 4421274729329022336,231.9276779,2.597673374,0,0,57,1.63615E+018,4.42127E+018,228445224,0.0145,0.0142,35.3547,0.0192,1840.8713,55.004,-51.833,0.018,-18.405,0.02,0.0434,-0.2806,-0.0047,0.042,-0.4127,0.0107,0.0658,-0.0672,-0.2399,-0.3363,178,178,176,2,2.9555,415.13,0.082,7.5675,31,TRUE,1.396,,,,,,,,20,13,0.03038,22,0.02733,10.88,0,0,1.162,0,176,2623260.488,1035.93,2532.27,9.640264,0.002788,20,921833,1165.54,790.908,10.426911,0.00311,20,2444010,2652.26,921.48,8.777639,0.003959,1.283,0,0,0,0,0,1.649272,0.786648,0.862624,-42.54,0.16,1,9,3,7,121.97,-0.74827,0.585862,552.674,0.84,4250,4,0.5,111,,,,8.420857,0.006,5,,NOT_AVAILABLE,0,0,0.997667,,,,,,,,,,,,,,,,,,,,,,,231.9279085,2.597755173,0.291128,0.31327,-0.3389,0.58515
SSTSL2 J053049.72-670554.9,0,0,82.707184,-67.098598,277.220641,-32.640063,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,24090,16.81,16890,10.25,11190,18.49,6279,14.44,653.9,89.58,0,0,0,0,0,1.02,0.95,0.98,0,0,1272.7,1483.7,556.7,424.3,7.3,3,3,0,0,N,1,0.8192,1.12,3.643,4.535,50.56,40019951,40019951-344,0,0,3.91,5.21,3.96,5.76,23.77,866172809,1,82.70716,-67.09866,48750,987.9,53410,1181,45330,960.3,Gaia DR3 4660206027800195584,82.70736186,-67.09845648,0,0,165,1.63615E+018,4.66021E+018,551597121,0.0139,0.0148,19.6077,0.0145,1348.8395,49.525,19.057,0.018,45.712,0.02,-0.037,0.0086,-0.1306,-0.0099,0.1801,0.0266,-0.1838,0.177,-0.1374,-0.0938,331,0,330,1,1.5102,361.34,0,0,31,FALSE,1.249,,,,,,,,38,26,0.02887,88,0.02075,60.94,0,0,1.059,0,738,36342.84042,41.3538,878.828,14.28632,0.00302,84,5692.06,32.789,173.597,15.950368,0.006849,84,48059.7,144.98,331.491,13.043443,0.005001,1.479,0,0,0,0,0,2.906925,1.664048,1.242877,30.3,3.71,2,20,9,12,16.013,,,947.892,,3400,4.5,0.25,101,,,,12.474918,0.036553,12,,VARIABLE,0,0,0.992964,,,,,,,,,,,,,,,,,,,,,,,82.70714421,-67.09865964,0.287631,0.330409,-0.093,0.567153
SSTSL2 J153607.88+384214.4,0,0,234.032847,38.704015,62.261412,53.892852,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,16810,12.26,11560,11.17,7386,22.44,4244,16.59,581.9,70.11,0,0,0,0,0,1.02,1.02,0.92,0,0,1251.1,941.5,311.4,280.1,8.3,0,0,0,0,N,1,0.7914,1.031,4.98,0,29.22,50068730,50068730-0,0,0,2.05,3.06,2.78,3.05,5.58,576293521,1,234.0327,38.70392,35480,751.6,37390,861,31190,517.1,Gaia DR3 1377340147189201408,234.0329827,38.70411972,0,0,24,1.63615E+018,1.37734E+018,348875153,0.0104,0.0117,16.2643,0.0139,1173.9424,49.771,40.459,0.014,28.988,0.016,0.1356,-0.0753,0.1416,0.1087,-0.026,0.0863,-0.0678,-0.2309,-0.0387,0.2255,520,0,518,2,3.2786,593.28,0.039,0.86694,31,FALSE,1.292,,,,,,,,59,30,0.023793,63,0.002035,40.76,0,0,1.103,0,537,37723.53861,10.8498,3476.88,14.245836,0.002773,60,8112.8,13.8333,586.468,15.565615,0.003348,57,45013.8,33.8907,1328.21,13.114532,0.003867,1.408,0,0,0,2,0,2.451082,1.319778,1.131304,-36.29,1.9,2,26,6,20,13.927,,,907.313,,3400,4,-0.75,111,,,,12.591659,0.024163,21,,VARIABLE,0,0,0.992964,,,,,,,,,,,,,,,,,,,,,,,234.0327523,38.70399089,0.221318,0.262916,0.2171,0.536094
SSTSL2 J224656.98+602924.5,0,0,341.737456,60.490152,108.178973,1.234394,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,20870,12.47,14280,14.89,9729,21.56,5429,17.74,865,131.1,0,0,0,0,0,1.02,0.95,0.98,0,0,1513.7,854.8,410.9,347.1,6.6,2,0,0,0,N,1,1.081,1.251,4.432,6.351,76.77,30002711,30002711-30498,0,0,3.86,3.83,3.97,3.96,10.8,768649187,1,341.7374,60.49015,48800,988.8,56960,1417,44670,822.8,Gaia DR3 2200763065208696064,341.7375737,60.49017462,0,0,119,1.63615E+018,2.20076E+018,1665438030,0.0109,0.0099,10.6962,0.012,890.2731,26.068,25.66,0.014,4.595,0.012,-0.1722,-0.1489,-0.1334,-0.1345,0.2119,-0.1508,0.0482,-0.0103,0.0209,-0.2172,396,0,394,2,0.7614,380.29,0,0,31,FALSE,1.332,,,,,,,,46,27,0.020704,50,0.01983,15.39,0,0,1.027,0,391,67541.65263,26.6878,2530.81,13.613438,0.002789,47,18284.7,28.7847,635.223,14.683322,0.003272,45,73273.4,56.9132,1287.46,12.585529,0.003872,1.356,0,4,0,1,0,2.097793,1.069884,1.027908,-5.44,1.58,2,20,8,17,19.6,,,990.313,,3800,4.5,0,101,,,,12.12802,0.052268,13,,NOT_AVAILABLE,0,0,0.992964,3820.3,3819.4,3821.3,4.6995,4.6984,4.7006,-0.0011,-0.0036,0.0002,93.331,93.2221,93.4417,0.5802,0.5773,0.5829,0.4024,0.4004,0.4043,0.2299,0.2288,0.231,MARCS,341.7373421,60.4901542,0.229804,0.195389,-0.2023,0.223976
SSTSL2 J022523.15-733726.6,0,0,36.346464,-73.624064,294.251396,-41.883553,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,15220,10.49,10590,9.765,6844,16.9,3795,13.44,628.8,108.4,0,0,0,0,0,1.02,0.98,0.92,0,0,1310.5,978.7,353.3,288,5.8,2,0,0,0,N,1,0.7766,1.086,3.542,4.712,76.48,40045991,40045991-90,0,0,5.15,5.68,5.6,6.1,14.15,133953029,1,36.34728,-73.62395,35030,742,39370,870.3,30510,646.3,Gaia DR3 4643651402723638272,36.3464484,-73.62419264,0,0,76,1.63615E+018,4.64365E+018,418217938,0.0113,0.0101,10.1603,0.0114,887.4769,71.179,-48.273,0.013,-52.309,0.013,0.0614,0.3386,-0.1505,-0.1859,0.0885,-0.1278,-0.129,-0.0478,-0.2121,-0.0185,388,0,387,1,2.1949,417.99,0,0,31,FALSE,1.353,,,,,,,,44,28,0.018385,50,0.0173,62.75,0,0,1.08,0,404,56983.71091,11.8839,4795.04,13.79799,0.002765,47,17160.5,20.2187,848.746,14.752218,0.003069,46,58490.9,29.613,1975.18,12.830175,0.003819,1.328,0,1,0,0,0,1.922043,0.954228,0.967814,1.53,1.75,2,20,6,17,16.112,,,899.469,,3900,4.5,-0.25,101,,,,12.367833,0.030523,14,,NOT_AVAILABLE,0,0,0.000001,3816.8,3815.2,3818.7,4.7639,4.7616,4.7661,-0.3612,-0.3633,-0.3587,98.107,97.9897,98.2178,0.3224,0.3191,0.326,0.227,0.2247,0.2296,0.1264,0.1251,0.1278,PHOENIX,36.34720936,-73.62396015,0.211948,0.207205,-0.002,0.463367
SSTSL2 J012412.12-741735.2,0,0,21.050533,-74.293111,299.926254,-42.643395,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,20540,14.92,13700,10.4,9198,18.12,5082,13.77,482.2,71.97,0,0,0,0,0,1.02,0.95,1.02,0,0,1217.9,1189.1,436.1,401.3,6.7,0,0,0,0,N,1,0.7788,1.054,3.328,4.632,49.44,40045991,40045991-121,0,0,6.06,3.83,7.16,4.09,32.68,52690547,1,21.04984,-74.29308,42420,820.5,50490,1116,40440,782.2,Gaia DR3 4686158419175729408,21.05069265,-74.29318794,0,0,91,1.63615E+018,4.68616E+018,338932896,0.0137,0.0111,11.4383,0.0133,860.6391,53.795,48.857,0.016,-22.515,0.014,-0.0071,0.1733,-0.3543,-0.0435,-0.1013,-0.0212,-0.001,-0.0618,-0.2141,-0.0421,377,0,377,0,2.9146,429.97,0.016,0.1274,31,FALSE,1.284,,,,,,,,43,27,0.022705,47,0.01658,128.3,0,0,1.108,0,393,43314.40956,18.9153,2289.92,14.095786,0.002796,41,8842.74,15.7757,560.528,15.472075,0.003397,43,52800.9,53.5942,985.198,12.941292,0.003937,1.423,0,0,0,1,0,2.530784,1.376289,1.154494,13.31,1.53,2,24,1,20,18.197,,,972.648,,3500,4,-0.5,111,,,,12.385067,0.021544,23,,NOT_AVAILABLE,0,0,0.000001,3493.3,3491.3,3495.3,4.6378,4.6333,4.6414,-0.1126,-0.1301,-0.0974,87.519,87.4111,87.6222,0.619,0.6156,0.6225,0.4067,0.4044,0.409,0.2568,0.2554,0.2582,MARCS,21.04989054,-74.29308787,0.258645,0.223017,-0.0379,0.317685
SSTSL2 J122150.00-632440.1,0,0,185.458353,-63.411157,299.626388,-0.729571,1,0,7,1,1,1,1,1,2,2,2,2,1,0,0,0,0,106600,106.5,71100,91.34,44940,223.2,26760,58.98,3351,120.1,0,0,0,0,1.01,1.02,0.95,1.02,0.98,0,912,698,181.1,373.6,27.9,2,2,0,0,N,1,9.752,10.73,34.2,23.91,79.65,30002561,30002561-27997,0,0,2.06,9.57,2.05,5.93,15.48,918722546,1,185.4585,-63.41114,255600,5415,307600,7083,230800,4251,Gaia DR3 6053774103316625664,185.4580479,-63.41119928,0,0,36,1.63615E+018,6.05377E+018,982134190,0.0093,0.0098,9.8184,0.0118,831.9132,40.911,-39.281,0.012,-11.431,0.013,0.1347,-0.2207,-0.3589,0.0203,-0.0146,0.0466,-0.1903,0.1681,0.1041,0.2471,417,417,414,3,-5.2611,627.71,0.057,3.8527,31,TRUE,1.374,,,,,,,,48,25,0.019712,56,0.008701,73.58,1,0,0.821,0,464,414730.8522,427.537,970.046,11.642951,0.002974,52,135803,507.457,267.615,12.506269,0.004924,52,407514,1036.76,393.066,10.722539,0.004681,1.31,0,0,0,0,0,1.78373,0.863317,0.920412,-4.48,9.08,1,14,8,12,55.055,30.006,0,821.759,80.95,4250,3,-2,111,,,,10.322839,0.021876,5,,NOT_AVAILABLE,0,0,0.996487,4626.5,4557.1,4737.3,4.2457,4.1867,4.2984,-0.6557,-0.7591,-0.4427,101.1953,100.3709,101.9037,1.4935,1.4175,1.5882,1.1141,1.0544,1.1873,0.5998,0.5679,0.6379,PHOENIX,185.458438,-63.41114848,0.190734,0.214623,0.2374,0.514633
SSTSL2 J020521.88-751346.5,0,0,31.341198,-75.229589,296.784195,-41.004083,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,19390,12.7,12260,10.77,8379,21.12,4721,14.71,601.6,83.55,0,0,0,0,0,0.95,1.02,1.02,0,0,1352.6,1001.4,348.9,312.2,7.2,0,0,0,0,N,1,0.7821,1.083,3.52,5.396,51.98,40045991,40045991-50,0,0,1.95,4.31,2.75,4.87,22.98,133839957,1,31.3404,-75.22966,41300,1027,49930,1242,38940,896.6,Gaia DR3 4637445415499709056,31.34167188,-75.22952467,0,0,116,1.63615E+018,4.63745E+018,948168569,0.0109,0.0103,8.7154,0.011,794.9833,69.58,61.995,0.013,31.59,0.014,-0.0846,0.1387,-0.2188,-0.162,0.0065,-0.1073,0.1669,0.0709,-0.1471,-0.0293,390,0,388,2,1.4557,394.45,0,0,31,FALSE,1.331,,,,,,,,45,27,0.019296,51,0.01931,93.69,0,0,1.052,0,433,57145.18752,17.3099,3301.31,13.794918,0.002775,49,15412.1,20.0086,770.276,14.868886,0.003126,47,62305.4,51.4809,1210.26,12.761581,0.003884,1.36,0,8,0,1,0,2.107305,1.073968,1.033337,9.34,1.46,2,21,1,16,17.15,,,899.041,,3800,4.5,0,101,,,,12.330729,0.048744,20,,VARIABLE,0,0,0.997667,3857.1,3847.2,3936.9,4.6321,4.6284,4.6675,0.0834,0.0666,0.2315,114.2256,113.948,114.5638,0.6091,0.597,0.7084,0.4225,0.414,0.4928,0.2427,0.2378,0.2828,MARCS,31.34059112,-75.22966507,0.212348,0.218327,-0.0159,0.492741
SSTSL2 J044816.37-663940.6,0,0,72.068211,-66.661293,277.776827,-36.8102,1,0,7,1,1,1,1,1,2,2,2,0,0,0,0,0,0,18680,13.78,13160,12.59,8780,22.37,4782,15.19,584.8,86,0,0,0,0,0,0.95,0.95,0.92,0,0,1217.3,939.5,339.5,328.6,6.8,3,3,0,0,N,1,0.813,1.138,3.463,4.807,72.17,40019951,40019951-377,0,0,3.73,3.81,3.68,3.8,24.86,1218443363,1,72.06817,-66.66144,39120,1045,42190,1166,34770,800.6,Gaia DR3 4662521977201853184,72.06829853,-66.66113043,0,0,9,1.63615E+018,4.66252E+018,632800883,0.015,0.0153,12.0567,0.0153,789.4736,63.215,9.945,0.018,62.428,0.019,0.0057,-0.0468,-0.0758,-0.0543,0.1018,-0.0534,-0.2032,0.1021,-0.1558,0.0372,301,0,300,1,3.2758,365.99,0.035,0.4521,31,TRUE,1.268,,,,,,,,34,24,0.027041,83,0.002911,13.3,0,0,1.137,0,700,34849.91295,10.809,3224.16,14.331862,0.002776,78,6336.61,11.3211,559.717,15.833899,0.003398,80,44082.1,30.208,1459.29,13.13724,0.003852,1.447,0,21,0,0,0,2.696659,1.502037,1.194622,4.52,3.32,2,38,5,16,18.523,,,1005.93,,3400,4.5,0,101,,,,12.536516,0.034775,36,,NOT_AVAILABLE,0,0,0.996487,3400.4,3388.5,3423.1,4.4372,4.4027,4.5507,-0.5339,-0.5867,-0.3507,83.2426,83.0205,83.508,0.8877,0.8706,0.9002,0.5743,0.5629,0.5825,0.3673,0.3602,0.3727,MARCS,72.06818696,-66.66140789,0.286389,0.311328,0.0421,0.59842
SSTSL2 J222424.77+602910.6,0,1,336.10324,60.486282,105.768203,2.610379,1,0,6,1,1,1,1,1,2,2,2,0,0,0,0,0,0,23670,13.6,17170,12.16,11520,22.15,6351,17.37,600.5,85.79,0,0,0,0,0,0.92,0.92,1.02,0,0,1551.5,1275.6,450.8,411.8,7,2,2,0,0,N,1,1.034,1.233,4.104,5.985,76.19,30002711,30002711-32656,0,0,1.73,3.62,4.99,4.14,26.23,,0,,,,,,,,,Gaia DR3 2201361130816495616,336.1033413,60.48639314,0,0,146,1.63615E+018,2.20136E+018,742850607,0.0082,0.0085,7.4413,0.0096,777.8673,93.174,66.447,0.011,65.316,0.01,-0.1021,0.0602,-0.0956,-0.1089,0.1737,-0.1377,-0.135,-0.1083,0.0306,-0.1184,396,396,395,1,0.3736,558.16,0.041,2.1442,31,TRUE,1.436,,,,,,,,46,27,0.015102,49,0.009195,174.5,0,0,1.013,0,406,203168.105,33.0081,6155.11,12.417728,0.002761,44,82067.5,69.4342,1181.95,13.053114,0.002937,43,172220,70.8352,2431.28,11.657687,0.003806,1.252,0,25,0,24,0,1.395427,0.635386,0.760041,-31.58,0.51,1,17,2,15,30.282,-0.47938,0.661726,990.065,6.04,4500,4,0.5,111,10.8932,7.6832,14,11.375134,0.014261,15,,NOT_AVAILABLE,0,0,0.999904,4548.7,4496.3,4556.4,4.6074,4.5932,4.6114,0.3737,0.2672,0.4118,134.1376,133.8361,134.4726,0.1783,0.1207,0.1874,0.1357,0.0917,0.1426,0.0709,0.048,0.0745,MARCS,336.1027418,60.48610285,0.169282,0.161571,-0.1045,0.43856
